machine_name,node_id,timestamp,voltage_l1,voltage_l2,voltage_l3,current_l1,current_l2,current_l3,active_power_kw,kwh,kvarh,pf,temperature,vibration,co2_ppm
Compressor Array,D-003,2026-03-11T09:18:14.187Z,397.5,401.8,397.4,16.41,15.53,17.29,19.63,58.898,5.890,0.91,47.3,0.74,494
JMS Industrial,TX-JMS,2026-03-11T09:23:14.187Z,399.6,403.8,399.4,17.37,18.73,19.00,22.09,135.798,13.580,0.92,52.2,2.14,464
EBOOT CNC,TX-EBOOT,2026-03-11T09:23:14.187Z,395.5,402.9,399.8,19.45,19.12,15.83,21.73,100.724,10.072,0.93,55.2,1.49,419
SARA Mill,TX-SARA,2026-03-11T09:23:14.187Z,404.5,395.2,404.7,17.44,19.89,19.17,22.67,165.695,16.570,0.92,50.1,0.95,406
Compressor Array,D-003,2026-03-11T09:23:14.187Z,395.7,399.4,395.0,15.25,19.23,19.03,21.23,60.668,6.067,0.91,51.6,0.95,419
JMS Industrial,TX-JMS,2026-03-11T09:28:14.187Z,404.0,403.5,397.1,19.89,15.01,15.25,20.15,137.477,13.748,0.88,54.1,0.60,435
EBOOT CNC,TX-EBOOT,2026-03-11T09:28:14.187Z,398.8,396.1,399.2,16.34,15.76,19.97,20.73,102.452,10.245,0.90,56.8,1.08,454
SARA Mill,TX-SARA,2026-03-11T09:28:14.187Z,397.7,395.7,404.3,18.25,16.06,19.53,21.51,167.488,16.749,0.94,48.5,1.73,487
Compressor Array,D-003,2026-03-11T09:28:14.187Z,395.5,396.5,395.0,17.14,18.71,15.31,20.25,62.355,6.235,0.95,64.7,0.73,431
JMS Industrial,TX-JMS,2026-03-11T09:33:14.187Z,401.1,401.3,400.7,18.73,18.01,17.06,21.58,139.275,13.927,0.90,49.4,0.73,492
EBOOT CNC,TX-EBOOT,2026-03-11T09:33:14.187Z,398.9,395.7,402.2,17.30,19.99,16.63,21.50,104.244,10.424,0.93,43.2,1.37,422
SARA Mill,TX-SARA,2026-03-11T09:33:14.187Z,399.1,404.2,397.6,16.42,15.24,18.44,20.04,169.158,16.916,0.88,47.4,1.41,461
Compressor Array,D-003,2026-03-11T09:33:14.187Z,403.2,398.3,396.2,16.86,15.92,17.06,19.90,64.013,6.401,0.90,46.9,1.70,433
JMS Industrial,TX-JMS,2026-03-11T09:38:14.187Z,396.4,396.8,404.0,18.43,18.46,18.36,22.05,141.112,14.111,0.86,51.0,0.30,483
EBOOT CNC,TX-EBOOT,2026-03-11T09:38:14.187Z,401.5,403.0,402.6,17.45,18.66,18.73,22.07,106.083,10.608,0.85,69.1,1.92,490
SARA Mill,TX-SARA,2026-03-11T09:38:14.187Z,403.0,395.6,400.7,19.24,18.45,19.30,22.79,171.057,17.106,0.91,50.1,0.80,413
Compressor Array,D-003,2026-03-11T09:38:14.187Z,404.4,399.0,404.6,15.60,18.10,16.93,20.38,65.712,6.571,0.93,63.8,1.48,475
JMS Industrial,TX-JMS,2026-03-11T09:43:14.187Z,400.6,395.8,400.1,15.10,19.05,15.67,19.86,142.767,14.277,0.86,46.2,1.40,451
EBOOT CNC,TX-EBOOT,2026-03-11T09:43:14.187Z,395.6,404.2,398.8,16.37,19.74,16.40,20.99,107.832,10.783,0.90,49.5,1.69,425
SARA Mill,TX-SARA,2026-03-11T09:43:14.187Z,397.0,395.8,399.5,15.82,16.97,18.49,20.38,172.755,17.276,0.92,41.6,1.13,416
Compressor Array,D-003,2026-03-11T09:43:14.187Z,401.4,398.4,397.0,18.04,17.35,17.77,21.21,67.479,6.748,0.86,57.3,1.36,456
JMS Industrial,TX-JMS,2026-03-11T09:48:14.187Z,401.2,400.0,404.8,18.21,15.45,15.31,19.68,144.407,14.441,0.94,52.9,0.68,486
EBOOT CNC,TX-EBOOT,2026-03-11T09:48:14.187Z,403.0,403.9,398.6,19.71,18.68,19.81,23.38,109.781,10.978,0.94,67.5,2.00,431
SARA Mill,TX-SARA,2026-03-11T09:48:14.187Z,399.6,399.3,404.2,18.13,19.73,19.82,23.13,174.683,17.468,0.88,61.9,0.25,451
Compressor Array,D-003,2026-03-11T09:48:14.187Z,400.9,401.7,403.1,18.14,19.59,18.40,22.56,69.359,6.936,0.88,68.2,1.59,417
JMS Industrial,TX-JMS,2026-03-11T09:53:14.187Z,404.4,403.5,404.5,19.32,16.12,17.45,21.38,146.189,14.619,0.86,42.7,0.22,422
EBOOT CNC,TX-EBOOT,2026-03-11T09:53:14.187Z,398.8,401.4,403.7,16.36,19.57,18.91,22.01,111.615,11.162,0.89,56.3,2.11,409
SARA Mill,TX-SARA,2026-03-11T09:53:14.187Z,401.8,397.6,401.9,17.95,19.42,15.97,21.35,176.462,17.646,0.93,42.5,1.10,434
Compressor Array,D-003,2026-03-11T09:53:14.187Z,404.9,399.3,395.1,18.90,16.39,18.76,21.61,71.160,7.116,0.91,60.9,0.88,439
JMS Industrial,TX-JMS,2026-03-11T09:58:14.187Z,399.4,396.2,395.6,18.73,18.67,18.58,22.23,148.041,14.804,0.91,59.1,0.23,495
EBOOT CNC,TX-EBOOT,2026-03-11T09:58:14.187Z,404.1,403.5,396.5,15.11,19.23,15.58,20.04,113.286,11.329,0.88,48.2,1.54,464
SARA Mill,TX-SARA,2026-03-11T09:58:14.187Z,399.7,399.8,403.1,15.96,18.57,15.21,19.93,178.123,17.812,0.92,43.7,1.01,410
Compressor Array,D-003,2026-03-11T09:58:14.187Z,402.2,400.0,397.0,16.08,17.06,16.75,19.94,72.822,7.282,0.92,52.5,1.74,479
JMS Industrial,TX-JMS,2026-03-11T10:03:14.187Z,404.1,399.9,396.7,19.74,17.46,15.02,20.92,149.784,14.978,0.91,61.3,1.13,402
EBOOT CNC,TX-EBOOT,2026-03-11T10:03:14.187Z,402.1,401.9,398.0,16.10,18.83,19.46,21.79,115.101,11.510,0.91,57.7,0.69,467
SARA Mill,TX-SARA,2026-03-11T10:03:14.187Z,400.9,400.3,402.4,15.76,16.66,18.37,20.38,179.821,17.982,0.91,54.1,0.53,420
Compressor Array,D-003,2026-03-11T10:03:14.187Z,399.5,404.7,404.9,16.41,18.11,17.16,20.83,74.558,7.456,0.92,41.0,0.56,445
JMS Industrial,TX-JMS,2026-03-11T10:08:14.187Z,400.3,404.4,397.2,15.91,16.03,19.43,20.57,151.498,15.150,0.86,48.8,1.24,477
EBOOT CNC,TX-EBOOT,2026-03-11T10:08:14.187Z,404.8,399.2,404.8,19.62,19.30,16.66,22.39,116.967,11.697,0.86,64.0,1.23,432
SARA Mill,TX-SARA,2026-03-11T10:08:14.187Z,403.2,395.3,401.4,17.84,18.32,15.03,20.47,181.527,18.153,0.92,60.8,1.39,496
Compressor Array,D-003,2026-03-11T10:08:14.187Z,395.9,397.4,395.7,17.00,17.73,17.57,20.73,76.285,7.629,0.90,45.1,1.77,457
JMS Industrial,TX-JMS,2026-03-11T10:13:14.187Z,396.2,402.7,402.2,17.87,16.74,15.31,19.98,153.163,15.316,0.88,65.2,0.89,464
EBOOT CNC,TX-EBOOT,2026-03-11T10:13:14.187Z,399.4,400.2,399.7,18.57,16.50,19.94,21.99,118.800,11.880,0.92,65.6,1.44,472
SARA Mill,TX-SARA,2026-03-11T10:13:14.187Z,397.4,403.5,401.2,19.75,16.80,18.99,22.24,183.381,18.338,0.90,46.6,1.13,463
Compressor Array,D-003,2026-03-11T10:13:14.187Z,404.8,402.1,399.1,17.32,15.76,16.66,20.00,77.952,7.795,0.90,69.2,0.46,460
JMS Industrial,TX-JMS,2026-03-11T10:18:14.187Z,396.4,399.1,403.2,19.53,18.42,15.47,21.33,154.941,15.494,0.86,60.7,1.61,419
EBOOT CNC,TX-EBOOT,2026-03-11T10:18:14.187Z,395.6,397.3,400.9,18.03,18.27,18.23,21.70,120.608,12.061,0.92,45.9,0.86,429
SARA Mill,TX-SARA,2026-03-11T10:18:14.187Z,396.4,395.5,396.5,16.57,17.42,18.10,20.64,185.101,18.510,0.89,50.9,2.01,469
Compressor Array,D-003,2026-03-11T10:18:14.187Z,399.8,398.6,396.5,17.22,17.23,18.56,21.11,79.711,7.971,0.87,48.9,0.39,453
JMS Industrial,TX-JMS,2026-03-11T10:23:14.187Z,403.2,404.5,400.8,19.27,16.72,17.56,21.57,156.738,15.674,0.95,67.8,0.56,466
EBOOT CNC,TX-EBOOT,2026-03-11T10:23:14.187Z,404.6,398.1,404.1,17.89,16.49,19.51,21.69,122.416,12.242,0.94,68.7,0.75,451
SARA Mill,TX-SARA,2026-03-11T10:23:14.187Z,401.2,396.6,397.3,16.15,18.19,15.85,19.99,186.767,18.677,0.90,49.7,0.59,416
Compressor Array,D-003,2026-03-11T10:23:14.187Z,398.0,405.0,402.4,17.24,19.89,16.42,21.53,81.505,8.150,0.93,65.8,1.94,476
JMS Industrial,TX-JMS,2026-03-11T10:28:14.187Z,401.2,397.9,401.3,18.49,17.02,16.98,21.01,158.489,15.849,0.92,67.0,1.77,449
EBOOT CNC,TX-EBOOT,2026-03-11T10:28:14.187Z,403.0,397.9,404.9,18.02,19.33,18.46,22.43,124.285,12.428,0.92,45.8,2.13,494
SARA Mill,TX-SARA,2026-03-11T10:28:14.187Z,401.3,396.9,397.5,15.49,15.68,19.42,20.16,188.446,18.845,0.93,52.8,0.62,432
Compressor Array,D-003,2026-03-11T10:28:14.187Z,403.7,403.6,395.8,18.04,17.72,18.77,21.86,83.327,8.333,0.88,62.2,0.71,466
JMS Industrial,TX-JMS,2026-03-11T10:33:14.187Z,402.6,403.2,399.3,16.15,19.91,19.62,22.36,160.352,16.035,0.86,53.2,0.95,498
EBOOT CNC,TX-EBOOT,2026-03-11T10:33:14.187Z,404.6,402.0,403.0,19.00,18.01,16.99,21.77,126.099,12.610,0.87,49.9,1.29,444
SARA Mill,TX-SARA,2026-03-11T10:33:14.187Z,396.3,397.6,398.0,17.61,18.41,16.48,20.86,190.185,19.018,0.86,45.2,1.23,421
Compressor Array,D-003,2026-03-11T10:33:14.187Z,404.6,395.5,401.7,18.71,15.24,18.08,20.86,85.065,8.507,0.89,61.4,1.20,415
JMS Industrial,TX-JMS,2026-03-11T10:38:14.187Z,396.5,401.9,401.6,17.33,15.18,18.54,20.42,162.054,16.205,0.88,61.3,1.44,451
EBOOT CNC,TX-EBOOT,2026-03-11T10:38:14.187Z,399.7,399.7,400.9,18.65,16.55,17.83,21.22,127.868,12.787,0.91,62.8,2.19,485
SARA Mill,TX-SARA,2026-03-11T10:38:14.187Z,397.7,404.8,404.3,15.99,16.64,15.08,19.20,191.784,19.178,0.94,56.1,2.10,421
Compressor Array,D-003,2026-03-11T10:38:14.187Z,402.5,403.6,397.5,18.33,17.46,15.80,20.70,86.791,8.679,0.89,50.8,0.51,439
JMS Industrial,TX-JMS,2026-03-11T10:43:14.187Z,404.4,404.3,403.2,19.13,17.22,18.10,22.00,163.887,16.389,0.94,48.8,0.32,417
EBOOT CNC,TX-EBOOT,2026-03-11T10:43:14.187Z,401.6,398.9,400.1,18.42,16.30,16.52,20.51,129.577,12.958,0.90,59.6,1.53,496
SARA Mill,TX-SARA,2026-03-11T10:43:14.187Z,398.2,396.3,396.9,16.14,15.28,18.36,19.77,193.432,19.343,0.91,47.2,1.70,453
Compressor Array,D-003,2026-03-11T10:43:14.187Z,399.9,398.9,400.5,16.79,15.79,17.04,19.84,88.444,8.844,0.86,57.7,0.97,418
JMS Industrial,TX-JMS,2026-03-11T10:48:14.187Z,397.2,395.4,398.5,15.93,17.13,19.36,20.81,165.622,16.562,0.91,44.9,0.49,463
EBOOT CNC,TX-EBOOT,2026-03-11T10:48:14.187Z,396.3,403.8,396.1,15.27,18.46,19.24,21.13,131.337,13.134,0.91,66.9,1.98,406
SARA Mill,TX-SARA,2026-03-11T10:48:14.187Z,400.0,398.3,396.8,17.38,18.35,19.76,22.10,195.273,19.527,0.94,60.3,0.47,477
Compressor Array,D-003,2026-03-11T10:48:14.187Z,403.4,398.3,398.0,19.19,16.76,19.55,22.20,90.294,9.029,0.93,63.2,1.54,470
JMS Industrial,TX-JMS,2026-03-11T10:53:14.187Z,396.5,403.1,404.9,17.38,15.14,17.81,20.20,167.305,16.731,0.93,68.9,1.47,483
EBOOT CNC,TX-EBOOT,2026-03-11T10:53:14.187Z,401.7,403.8,398.6,15.46,17.39,15.25,19.31,132.947,13.295,0.86,43.0,0.98,475
SARA Mill,TX-SARA,2026-03-11T10:53:14.187Z,396.4,397.7,402.1,15.22,17.02,19.85,20.78,197.005,19.701,0.92,54.1,1.80,417
Compressor Array,D-003,2026-03-11T10:53:14.187Z,401.7,403.2,396.3,18.33,15.74,17.74,20.74,92.022,9.202,0.88,61.0,1.67,496
JMS Industrial,TX-JMS,2026-03-11T10:58:14.187Z,397.7,398.0,400.2,16.19,15.29,19.25,20.23,168.991,16.899,0.91,69.5,0.66,438
EBOOT CNC,TX-EBOOT,2026-03-11T10:58:14.187Z,404.2,395.5,402.4,18.76,18.47,16.01,21.33,134.724,13.472,0.87,64.1,0.30,414
SARA Mill,TX-SARA,2026-03-11T10:58:14.187Z,395.3,395.4,403.1,18.05,16.07,18.22,20.83,198.741,19.874,0.87,65.8,0.44,434
Compressor Array,D-003,2026-03-11T10:58:14.187Z,396.9,402.1,403.5,15.61,15.67,16.32,19.08,93.612,9.361,0.94,59.2,0.72,421
JMS Industrial,TX-JMS,2026-03-11T11:03:14.187Z,399.2,398.4,404.5,16.45,15.18,17.31,19.62,170.626,17.063,0.85,58.5,1.64,461
EBOOT CNC,TX-EBOOT,2026-03-11T11:03:14.187Z,404.5,404.9,402.7,17.59,17.93,16.26,20.92,136.468,13.647,0.93,62.8,1.19,496
SARA Mill,TX-SARA,2026-03-11T11:03:14.187Z,402.6,396.3,395.6,19.34,17.24,16.76,21.25,200.512,20.051,0.87,47.8,1.73,471
Compressor Array,D-003,2026-03-11T11:03:14.187Z,397.4,398.7,399.8,15.87,18.40,19.12,21.29,95.386,9.539,0.89,67.8,0.48,455
JMS Industrial,TX-JMS,2026-03-11T11:08:14.187Z,404.3,396.5,397.9,17.64,16.09,15.08,19.51,172.252,17.225,0.88,55.9,0.73,445
EBOOT CNC,TX-EBOOT,2026-03-11T11:08:14.187Z,403.7,401.1,402.6,17.63,17.32,15.45,20.29,138.158,13.816,0.94,43.2,0.65,400
SARA Mill,TX-SARA,2026-03-11T11:08:14.187Z,402.6,395.4,399.1,18.68,18.79,15.79,21.25,202.283,20.228,0.87,63.6,1.78,476
Compressor Array,D-003,2026-03-11T11:08:14.187Z,396.4,399.6,397.8,19.78,18.73,17.12,22.14,97.230,9.723,0.87,44.6,1.03,478
JMS Industrial,TX-JMS,2026-03-11T11:13:14.187Z,399.0,397.1,402.3,16.38,16.52,17.81,20.26,173.940,17.394,0.90,67.0,0.35,439
EBOOT CNC,TX-EBOOT,2026-03-11T11:13:14.187Z,399.2,400.3,400.6,19.37,17.43,18.91,22.28,140.015,14.002,0.90,51.4,1.61,440
SARA Mill,TX-SARA,2026-03-11T11:13:14.187Z,403.0,396.0,404.7,18.76,17.80,15.75,20.98,204.032,20.403,0.94,46.7,1.61,401
Compressor Array,D-003,2026-03-11T11:13:14.187Z,404.8,395.8,396.6,16.63,17.42,15.44,19.75,98.876,9.888,0.92,60.8,0.40,482
JMS Industrial,TX-JMS,2026-03-11T11:18:14.187Z,395.7,399.5,399.8,17.01,16.74,19.82,21.35,175.719,17.572,0.90,64.1,0.22,468
EBOOT CNC,TX-EBOOT,2026-03-11T11:18:14.187Z,397.6,404.3,403.3,19.15,19.14,15.43,21.57,141.813,14.181,0.94,45.9,0.22,421
SARA Mill,TX-SARA,2026-03-11T11:18:14.187Z,400.6,403.6,398.9,16.41,16.83,19.09,20.98,205.780,20.578,0.90,58.4,1.51,464
Compressor Array,D-003,2026-03-11T11:18:14.187Z,403.5,395.7,396.1,15.32,19.57,16.77,20.57,100.590,10.059,0.88,53.1,0.36,474
JMS Industrial,TX-JMS,2026-03-11T11:23:14.187Z,399.0,402.0,400.9,18.47,17.93,15.54,20.81,177.453,17.745,0.88,50.7,2.16,478
EBOOT CNC,TX-EBOOT,2026-03-11T11:23:14.187Z,403.9,399.0,402.1,17.17,15.38,16.74,19.80,143.464,14.346,0.88,41.4,1.30,462
SARA Mill,TX-SARA,2026-03-11T11:23:14.187Z,403.4,397.0,397.0,16.83,16.77,19.28,21.10,207.539,20.754,0.92,41.1,0.79,495
Compressor Array,D-003,2026-03-11T11:23:14.187Z,398.9,397.4,402.3,15.09,18.59,15.39,19.60,102.224,10.222,0.87,47.8,0.69,473
JMS Industrial,TX-JMS,2026-03-11T11:28:14.187Z,400.2,399.3,398.7,15.28,16.26,16.88,19.34,179.065,17.906,0.90,59.3,0.76,460
EBOOT CNC,TX-EBOOT,2026-03-11T11:28:14.187Z,395.9,399.0,399.6,18.93,15.78,17.73,20.88,145.203,14.520,0.91,61.4,0.63,435
SARA Mill,TX-SARA,2026-03-11T11:28:14.187Z,401.5,403.7,396.5,16.16,18.89,18.38,21.40,209.323,20.932,0.92,62.9,0.25,401
Compressor Array,D-003,2026-03-11T11:28:14.187Z,400.8,404.1,395.1,18.63,15.80,15.38,19.93,103.884,10.388,0.87,59.7,0.89,449
JMS Industrial,TX-JMS,2026-03-11T11:33:14.187Z,399.6,397.2,404.5,17.06,15.96,16.75,19.93,180.726,18.073,0.87,42.5,1.31,453
EBOOT CNC,TX-EBOOT,2026-03-11T11:33:14.187Z,401.6,396.3,403.8,18.06,16.73,16.02,20.35,146.899,14.690,0.86,46.8,0.58,420
SARA Mill,TX-SARA,2026-03-11T11:33:14.187Z,401.8,398.4,401.0,19.88,16.14,19.06,22.06,211.161,21.116,0.88,44.0,0.30,454
Compressor Array,D-003,2026-03-11T11:33:14.187Z,399.4,401.4,404.7,17.10,15.44,15.37,19.25,105.488,10.549,0.89,49.0,2.01,474
JMS Industrial,TX-JMS,2026-03-11T11:38:14.187Z,397.4,400.7,396.6,16.97,17.88,19.51,21.65,182.530,18.253,0.94,55.9,0.82,457
EBOOT CNC,TX-EBOOT,2026-03-11T11:38:14.187Z,404.5,397.3,399.9,18.30,15.69,17.45,20.61,148.617,14.862,0.91,66.9,1.78,479
SARA Mill,TX-SARA,2026-03-11T11:38:14.187Z,398.6,404.1,402.1,19.87,17.39,15.97,21.37,212.942,21.294,0.90,63.4,0.33,479
Compressor Array,D-003,2026-03-11T11:38:14.187Z,395.2,399.4,396.1,16.09,15.65,15.64,18.81,107.056,10.706,0.90,51.6,2.14,471
JMS Industrial,TX-JMS,2026-03-11T11:43:14.187Z,404.2,396.9,404.7,15.67,16.09,18.69,20.29,184.220,18.422,0.92,62.7,1.51,498
EBOOT CNC,TX-EBOOT,2026-03-11T11:43:14.187Z,402.8,399.0,395.3,16.43,15.27,19.22,20.31,150.309,15.031,0.88,59.8,2.10,424
SARA Mill,TX-SARA,2026-03-11T11:43:14.187Z,399.7,396.3,404.8,19.99,17.16,17.29,21.79,214.758,21.476,0.88,42.6,1.58,404
Compressor Array,D-003,2026-03-11T11:43:14.187Z,403.4,396.5,401.4,16.12,18.39,17.33,20.76,108.785,10.879,0.86,65.5,0.46,440
JMS Industrial,TX-JMS,2026-03-11T11:48:14.187Z,403.3,402.4,398.5,18.25,18.16,18.36,21.98,186.052,18.605,0.94,65.1,1.69,467
EBOOT CNC,TX-EBOOT,2026-03-11T11:48:14.187Z,400.9,404.2,403.4,15.03,16.29,17.97,19.86,151.964,15.196,0.94,55.8,1.37,446
SARA Mill,TX-SARA,2026-03-11T11:48:14.187Z,397.4,403.5,400.3,16.88,16.21,15.44,19.43,216.377,21.638,0.95,40.7,1.01,405
Compressor Array,D-003,2026-03-11T11:48:14.187Z,403.6,403.9,404.6,16.20,15.03,16.16,19.15,110.381,11.038,0.85,65.6,1.74,447
JMS Industrial,TX-JMS,2026-03-11T11:53:14.187Z,396.2,401.9,397.2,17.53,18.38,19.91,22.24,187.906,18.791,0.94,51.3,0.79,489
EBOOT CNC,TX-EBOOT,2026-03-11T11:53:14.187Z,396.6,398.7,399.2,17.47,18.08,19.08,21.76,153.777,15.378,0.86,66.5,0.34,469
SARA Mill,TX-SARA,2026-03-11T11:53:14.187Z,397.8,398.7,400.7,17.41,19.34,17.47,21.64,218.181,21.818,0.93,49.1,2.00,474
Compressor Array,D-003,2026-03-11T11:53:14.187Z,398.0,398.9,404.3,19.14,16.06,16.11,20.54,112.092,11.209,0.90,45.2,1.39,442
JMS Industrial,TX-JMS,2026-03-11T11:58:14.187Z,400.4,402.4,403.9,16.78,19.02,19.19,22.13,189.749,18.975,0.88,68.3,2.17,443
EBOOT CNC,TX-EBOOT,2026-03-11T11:58:14.187Z,396.4,401.1,399.5,16.80,17.94,18.49,21.24,155.547,15.555,0.88,50.5,0.25,485
SARA Mill,TX-SARA,2026-03-11T11:58:14.187Z,396.8,398.0,398.9,18.05,15.83,19.11,21.09,219.938,21.994,0.88,67.4,1.07,499
Compressor Array,D-003,2026-03-11T11:58:14.187Z,400.9,400.8,400.3,16.92,18.89,19.51,22.17,113.939,11.394,0.91,52.5,1.35,500
JMS Industrial,TX-JMS,2026-03-11T12:03:14.187Z,403.7,401.2,400.2,18.29,19.71,18.45,22.68,191.639,19.164,0.95,48.6,1.30,494
EBOOT CNC,TX-EBOOT,2026-03-11T12:03:14.187Z,397.1,401.1,401.3,18.63,19.39,16.83,21.93,157.374,15.737,0.87,51.7,1.88,475
SARA Mill,TX-SARA,2026-03-11T12:03:14.187Z,396.9,400.1,397.3,16.76,18.22,15.74,20.20,221.621,22.162,0.88,46.2,1.25,403
Compressor Array,D-003,2026-03-11T12:03:14.187Z,397.9,397.6,395.1,17.49,19.11,17.27,21.38,115.721,11.572,0.91,46.8,0.83,451
JMS Industrial,TX-JMS,2026-03-11T12:08:14.187Z,403.8,395.6,400.4,15.55,18.83,18.56,21.16,193.403,19.340,0.92,55.4,0.52,473
EBOOT CNC,TX-EBOOT,2026-03-11T12:08:14.187Z,397.1,399.0,397.5,16.40,17.01,18.49,20.65,159.095,15.909,0.94,59.5,0.83,423
SARA Mill,TX-SARA,2026-03-11T12:08:14.187Z,403.6,398.2,402.4,18.24,16.91,16.21,20.62,223.340,22.334,0.95,57.8,0.91,427
Compressor Array,D-003,2026-03-11T12:08:14.187Z,399.5,395.4,395.9,19.68,17.36,18.56,22.07,117.560,11.756,0.94,58.8,2.06,407
JMS Industrial,TX-JMS,2026-03-11T12:13:14.187Z,400.8,400.1,395.0,15.03,19.21,19.21,21.30,195.177,19.518,0.86,45.3,1.61,445
